countyid,countyname,name
1,Alba,Abrud
1,Alba,Abrud-Sat
1,Alba,Achimetesti
1,Alba,Acmariu
1,Alba,Aiud
1,Alba,Aiudul-de-Sus
1,Alba,Albac
1,Alba,Alba-Iulia
1,Alba,Alecus
1,Alba,Almasu-de-Mijloc
1,Alba,Almasu-Mare
1,Alba,Ampoita
1,Alba,Anghelesti
1,Alba,Arieseni
1,Alba,Aronesti
1,Alba,Arti
1,Alba,Asinip
1,Alba,Avramesti-Arieseni
1,Alba,Avramesti
1,Alba,Avram-Iancu
1,Alba,Baba
1,Alba,Bacainti
1,Alba,Badai
1,Alba,Bagau
1,Alba,Bai
1,Alba,Baia-de-Aries
1,Alba,Balcaciu
1,Alba,Balesti
1,Alba,Balesti-Catun
1,Alba,Balmosesti
1,Alba,Balomiru-de-Camp
1,Alba,Barabant
1,Alba,Barasti
1,Alba,Barbesti
1,Alba,Bardesti
1,Alba,Barlesti-Bistra
1,Alba,Barlesti-Catun
1,Alba,Barlesti-Mogos
1,Alba,Barlesti
1,Alba,Barsana
1,Alba,Barzan
1,Alba,Barzogani
1,Alba,Bazesti
1,Alba,Beldiu
1,Alba,Benic
1,Alba,Berghin
1,Alba,Beta
1,Alba,Bidigesti
1,Alba,Biharia
1,Alba,Biia
1,Alba,Bilanesti
1,Alba,Bisericani
1,Alba,Bistra
1,Alba,Blaj
1,Alba,Blandiana
1,Alba,Blidesti
1,Alba,Bobaresti-Sohodol
1,Alba,Bobaresti-Vidra
1,Alba,Bocesti
1,Alba,Bocsitura
1,Alba,Bodesti
1,Alba,Bodresti
1,Alba,Bogdanesti-Mogos
1,Alba,Bogdanesti-Vidra
1,Alba,Boglesti
1,Alba,Boldesti
1,Alba,Bolovanesti
1,Alba,Boncesti
1,Alba,Bordestii-Poieni
1,Alba,Borlesti
1,Alba,Botani
1,Alba,Botesti-Campeni
1,Alba,Botesti-Scarisoara
1,Alba,Botesti-Zlatna
1,Alba,Boz
1,Alba,Bradeana
1,Alba,Bradesti
1,Alba,Bradet
1,Alba,Brazesti
1,Alba,Bubesti
1,Alba,Bucerdea-Granoasa
1,Alba,Bucerdea-Vinoasa
1,Alba,Bucium
1,Alba,Bucium-Sat
1,Alba,Bucuru
1,Alba,Budaiesti
1,Alba,Budeni
1,Alba,Bulbuc
1,Alba,Buninginea
1,Alba,Bunta
1,Alba,Burzesti
1,Alba,Burzonesti
1,Alba,Butesti-Horea
1,Alba,Butesti-Mogos
1,Alba,Calene
1,Alba,Calnic
1,Alba,Calugaresti
1,Alba,Campeni
1,Alba,Campu-Goblii
1,Alba,Candesti
1,Alba,Capalna
1,Alba,Capalna-de-Jos
1,Alba,Captalan
1,Alba,Capud
1,Alba,Capu-Dealului
1,Alba,Carasti
1,Alba,Carpen
1,Alba,Carpenii-de-Sus
1,Alba,Carpinis-Garbova
1,Alba,Carpinis
1,Alba,Cartulesti
1,Alba,Casa-de-Piatra
1,Alba,Casoaia
1,Alba,Cenade
1,Alba,Cerbu
1,Alba,Cergau
1,Alba,Cergau-Mare
1,Alba,Cergau-Mic
1,Alba,Certege
1,Alba,Ceru-Bacainti
1,Alba,Cetatea-de-Balta
1,Alba,Cetea
1,Alba,Cheia
1,Alba,Cheile-Cibului
1,Alba,Cheleteni
1,Alba,Cib
1,Alba,Cicard
1,Alba,Cicau
1,Alba,Cioara-de-Sus
1,Alba,Ciocasu
1,Alba,Cionesti
1,Alba,Cistei
1,Alba,Cisteiu-de-Mures
1,Alba,Ciuculesti
1,Alba,Ciugud
1,Alba,Ciugudu-de-Jos
1,Alba,Ciugudu-de-Sus
1,Alba,Ciuguzel
1,Alba,Ciuldesti
1,Alba,Ciumbrud
1,Alba,Ciuruleasa
1,Alba,Coasta-Hentii
1,Alba,Coasta-Vascului
1,Alba,Cobles
1,Alba,Cocesti
1,Alba,Cocosesti
1,Alba,Cojocani
1,Alba,Coleseni
1,Alba,Colibi
1,Alba,Coltesti
1,Alba,Copand
1,Alba,Corna
1,Alba,Cornu
1,Alba,Coroiesti
1,Alba,Cortesti
1,Alba,Coslariu
1,Alba,Coslariu-Nou
1,Alba,Costesti-Albac
1,Alba,Costesti-Poiana
1,Alba,Cotorasti
1,Alba,Craciunelu-de-Jos
1,Alba,Craciunelu-de-Sus
1,Alba,Craiva
1,Alba,Cretesti
1,Alba,Cricau
1,Alba,Criseni
1,Alba,Cristesti
1,Alba,Cucuta
1,Alba,Cugir
1,Alba,Culdesti
1,Alba,Cunta
1,Alba,Curaturi
1,Alba,Curmatura
1,Alba,Curpeni
1,Alba,Cut
1,Alba,Daia-Romana
1,Alba,Dambureni
1,Alba,Dandut
1,Alba,Darlesti
1,Alba,Daroaia
1,Alba,Deal
1,Alba,Dealu-Bajului
1,Alba,Dealu-Bistrii
1,Alba,Dealu-Capsei
1,Alba,Dealu-Caselor
1,Alba,Dealu-Crisului
1,Alba,Dealu-Dostatului
1,Alba,Dealu-Ferului
1,Alba,Dealu-Frumos
1,Alba,Dealu-Geoagiului
1,Alba,Dealu-Goiesti
1,Alba,Dealu-Lamasoi
1,Alba,Dealu-Muntelui
1,Alba,Dealu-Ordancusii
1,Alba,Dealu-Roatei
1,Alba,Decea
1,Alba,Deleni-Obarsie
1,Alba,Deoncesti
1,Alba,Deve
1,Alba,Dilimani
1,Alba,Dobra
1,Alba,Dobresti
1,Alba,Dobrot
1,Alba,Dogaresti
1,Alba,Dolesti
1,Alba,Doptau
1,Alba,Dos
1,Alba,Dostat
1,Alba,Dosu-Luncii
1,Alba,Dosu-Vasesti
1,Alba,Dragoiesti-Lunca
1,Alba,Drambar
1,Alba,Drasov
1,Alba,Dric
1,Alba,Duduieni
1,Alba,Dumacesti
1,Alba,Dumbrava-Ciugud
1,Alba,Dumbrava-Sasciori
1,Alba,Dumbrava-Unirea
1,Alba,Dumbrava-Zlatna
1,Alba,Dumbravita
1,Alba,Dumesti
1,Alba,Dumitra
1,Alba,Dupa-Deal-Lupsa
1,Alba,Dupa-Deal-Ponor
1,Alba,Dupa-Plese
1,Alba,Durasti
1,Alba,Faget
1,Alba,Fagetu-de-Jos
1,Alba,Fagetu-de-Sus
1,Alba,Fantanele
1,Alba,Farau
1,Alba,Fata
1,Alba,Fata-Abrudului
1,Alba,Fata-Cristesei
1,Alba,Fata-Lapusului
1,Alba,Fata-Lazesti
1,Alba,Fata-Pietrii
1,Alba,Feisa
1,Alba,Fenes
1,Alba,Feresti
1,Alba,Fericet
1,Alba,Feteni
1,Alba,Ficaresti
1,Alba,Flitesti
1,Alba,Floresti-Bucium
1,Alba,Floresti-Campeni
1,Alba,Floresti-Ramet
1,Alba,Floresti
1,Alba,Furduiesti-Campeni
1,Alba,Furduiesti-Sohodol
1,Alba,Gabud
1,Alba,Galati
1,Alba,Galbena
1,Alba,Galda-de-Jos
1,Alba,Galda-de-Sus
1,Alba,Galtiu
1,Alba,Gambas
1,Alba,Ganesti
1,Alba,Garbova
1,Alba,Garbova-de-Jos
1,Alba,Garbova-de-Sus
1,Alba,Garbovita
1,Alba,Garda-Barbulesti
1,Alba,Garda-de-Sus
1,Alba,Garda-Seaca
1,Alba,Garde
1,Alba,Geamana
1,Alba,Geoagiu-de-Sus
1,Alba,Geogel
1,Alba,Geomal
1,Alba,Ghedulesti
1,Alba,Ghetari
1,Alba,Ghioncani
1,Alba,Ghirbom
1,Alba,Giurgiut
1,Alba,Gligoresti
1,Alba,Glod
1,Alba,Glogovet
1,Alba,Goasele
1,Alba,Goiesti
1,Alba,Gojeiesti
1,Alba,Gorgan
1,Alba,Grosi
1,Alba,Gura-Ariesului
1,Alba,Gura-Cornei
1,Alba,Gura-Cutului
1,Alba,Gura-Izbitei
1,Alba,Gura-Rosiei
1,Alba,Gura-Sohodol
1,Alba,Hadarau
1,Alba,Haiducesti
1,Alba,Hanas
1,Alba,Hanas
1,Alba,Hanes-Mina
1,Alba,Hapria
1,Alba,Harasti
1,Alba,Hategana
1,Alba,Heleresti
1,Alba,Helesti
1,Alba,Henig
1,Alba,Heria
1,Alba,Hoanca-Sohodol
1,Alba,Hoanca-Vidra
1,Alba,Hodisesti
1,Alba,Hodobana
1,Alba,Holobani
1,Alba,Hoparta
1,Alba,Horea
1,Alba,Hudricesti
1,Alba,Huzaresti
1,Alba,Iacobesti
1,Alba,Ibru
1,Alba,Iclod
1,Alba,Ighiel
1,Alba,Ighiu
1,Alba,Ignatesti
1,Alba,Iliesti
1,Alba,Incesti-Avram
1,Alba,Incesti-Posaga
1,Alba,Inoc
1,Alba,Intregalde
1,Alba,Inuri
1,Alba,Isca
1,Alba,Ivanis
1,Alba,Izbicioara
1,Alba,Izbita
1,Alba,Izlaz
1,Alba,Izvoarele-Blaj
1,Alba,Izvoarele-Gard
1,Alba,Izvoarele-Livezile
1,Alba,Izvoru-Ampoiului
1,Alba,Jeflesti
1,Alba,Jidostina
1,Alba,Jidvei
1,Alba,Jojei
1,Alba,Joldisesti
1,Alba,Jurcuiesti
1,Alba,Lancram
1,Alba,Lazesti-Scarisoara
1,Alba,Lazesti
1,Alba,Laz-Sasciori
1,Alba,Lazuri-Lupsa
1,Alba,Lazuri-Sohodol
1,Alba,Laz-Vintu-de-Jos
1,Alba,Lehesti
1,Alba,Leorint
1,Alba,Lespezea
1,Alba,Lipaia
